Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,415.58,415.58,00:34:18,30/10 13:40:17,299.95,479980.41,1.00,1328.76,-156880.90,41.05,82.69,2297.67,477.90,-152652.83,28716.52,-123936.31,0.98,0.10
50000,0.20,2.0,415.54,415.49,00:33:57,30/10 13:40:17,297.49,481475.56,1.00,1270.97,-156755.74,39.00,78.46,2334.77,492.76,-152539.78,28480.38,-124059.40,0.96,0.10
75000,0.30,3.0,415.77,416.24,00:33:35,30/10 13:40:16,301.42,481719.13,1.00,1282.25,-156537.20,40.54,82.46,2334.99,539.23,-152257.74,28856.53,-123401.21,0.94,0.09
100000,0.40,4.0,415.10,413.09,00:33:18,30/10 13:40:20,299.03,480516.55,1.00,1283.30,-156531.61,38.82,85.27,2343.98,478.30,-152301.95,28627.85,-123674.10,0.92,0.09
125000,0.50,5.0,415.54,417.33,00:32:55,30/10 13:40:17,299.69,481591.44,1.00,1298.22,-156578.73,38.49,87.04,2340.51,487.35,-152327.12,28690.96,-123636.16,0.90,0.09
150000,0.60,6.0,416.19,419.45,00:32:31,30/10 13:40:14,301.28,482880.19,1.00,1303.91,-156414.94,36.37,84.14,2324.36,489.07,-152177.08,28843.88,-123333.21,0.88,0.09
175000,0.70,7.0,416.51,418.43,00:32:09,30/10 13:40:13,300.86,481690.87,1.00,1364.57,-156643.31,37.14,84.79,2321.32,474.37,-152361.12,28803.48,-123557.64,0.86,0.09
200000,0.80,8.0,416.37,415.41,00:31:49,30/10 13:40:13,302.18,481072.73,1.00,1282.56,-156719.90,36.35,82.64,2345.06,519.64,-152453.64,28929.39,-123524.26,0.84,0.08
225000,0.90,9.0,416.22,415.06,00:31:28,30/10 13:40:14,300.17,483318.94,1.00,1309.84,-156454.40,36.74,88.99,2297.51,485.38,-152235.94,28737.19,-123498.75,0.82,0.08
250000,1.00,10.0,416.29,416.88,00:31:07,30/10 13:40:14,299.07,480294.83,1.00,1287.23,-156558.35,39.04,88.37,2310.00,498.00,-152335.72,28631.69,-123704.03,0.80,0.08
275000,1.10,11.0,416.35,417.00,00:30:46,30/10 13:40:13,299.28,481579.95,1.00,1253.18,-156588.64,38.23,85.70,2306.50,493.05,-152411.99,28652.16,-123759.82,0.78,0.08
300000,1.20,12.0,416.27,415.39,00:30:26,30/10 13:40:14,297.95,482698.32,1.00,1266.60,-156474.47,36.66,82.15,2334.05,520.81,-152234.20,28524.54,-123709.66,0.76,0.08
325000,1.30,13.0,416.17,414.90,00:30:06,30/10 13:40:14,297.44,482061.17,1.00,1250.17,-156520.00,37.81,80.92,2331.13,475.06,-152344.91,28476.14,-123868.77,0.74,0.07
350000,1.40,14.0,416.23,417.08,00:29:45,30/10 13:40:14,300.71,481374.91,1.00,1300.88,-156991.71,34.50,76.89,2325.52,494.21,-152759.72,28788.95,-123970.77,0.72,0.07
375000,1.50,15.0,416.26,416.64,00:29:24,30/10 13:40:14,296.33,481429.52,1.00,1230.50,-156583.44,33.36,76.83,2327.13,522.13,-152393.49,28369.20,-124024.29,0.70,0.07
400000,1.60,16.0,416.14,414.41,00:29:04,30/10 13:40:14,298.83,481682.16,1.00,1264.61,-157062.06,36.69,82.82,2318.76,476.64,-152882.53,28609.13,-124273.40,0.68,0.07
425000,1.70,17.0,416.26,418.11,00:28:42,30/10 13:40:14,300.02,481452.88,1.00,1233.11,-156430.55,40.11,73.70,2280.48,513.26,-152289.89,28723.21,-123566.67,0.66,0.07
450000,1.80,18.0,416.02,412.04,00:28:22,30/10 13:40:15,300.20,481034.25,1.00,1352.71,-156946.64,39.49,76.59,2310.17,496.35,-152671.32,28739.98,-123931.34,0.64,0.06
475000,1.90,19.0,416.09,417.41,00:28:01,30/10 13:40:15,299.48,482559.40,1.00,1346.15,-156611.27,32.62,71.26,2294.97,492.82,-152373.45,28671.04,-123702.41,0.62,0.06
500000,2.00,20.0,416.26,419.47,00:27:40,30/10 13:40:14,298.70,479931.36,1.00,1332.71,-156786.01,32.91,74.18,2346.04,503.03,-152497.13,28596.90,-123900.22,0.60,0.06
525000,2.10,21.0,416.37,418.64,00:27:19,30/10 13:40:13,300.45,480156.53,1.00,1292.30,-156876.78,31.85,69.01,2330.19,485.86,-152667.55,28763.98,-123903.57,0.58,0.06
550000,2.20,22.0,416.48,418.80,00:26:58,30/10 13:40:13,297.93,481173.22,1.00,1311.68,-156788.38,31.94,66.41,2302.11,513.54,-152562.70,28522.49,-124040.22,0.56,0.06
575000,2.30,23.0,416.53,417.55,00:26:37,30/10 13:40:12,299.49,482897.11,1.00,1360.73,-156301.79,34.05,71.08,2322.80,508.43,-152004.70,28672.39,-123332.31,0.54,0.05
