Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,351.17,351.17,00:40:35,30/10 19:07:20,298.80,580209.55,1.00,1525.14,-190437.41,27.89,63.37,2455.81,561.27,-185803.93,34511.82,-151292.11,0.98,0.10
50000,0.20,2.0,350.86,350.56,00:40:13,30/10 19:07:22,298.13,580121.49,1.00,1540.31,-190458.56,28.45,66.37,2433.47,542.95,-185847.02,34434.86,-151412.16,0.96,0.10
75000,0.30,3.0,350.86,350.84,00:39:48,30/10 19:07:22,297.43,580972.54,1.00,1557.78,-190766.18,26.21,73.39,2473.91,564.25,-186070.64,34353.87,-151716.78,0.94,0.09
100000,0.40,4.0,350.70,350.24,00:39:25,30/10 19:07:23,299.07,582489.40,1.00,1513.84,-190342.00,25.79,60.09,2428.63,561.98,-185751.67,34542.71,-151208.96,0.92,0.09
125000,0.50,5.0,350.70,350.68,00:39:00,30/10 19:07:23,300.41,580471.96,1.00,1544.88,-190729.02,27.72,67.69,2443.80,589.31,-186055.61,34697.77,-151357.84,0.90,0.09
150000,0.60,6.0,350.72,350.83,00:38:35,30/10 19:07:23,298.92,580192.26,1.00,1606.94,-190431.83,24.52,64.03,2470.85,559.47,-185706.02,34525.81,-151180.20,0.88,0.09
175000,0.70,7.0,350.88,351.85,00:38:10,30/10 19:07:22,298.13,580729.91,1.00,1543.78,-190240.66,24.38,64.53,2473.49,554.53,-185579.95,34434.34,-151145.61,0.86,0.09
200000,0.80,8.0,350.80,350.25,00:37:45,30/10 19:07:22,299.16,581518.62,1.00,1569.18,-190253.75,22.00,60.33,2453.12,585.26,-185563.86,34553.15,-151010.71,0.84,0.08
225000,0.90,9.0,350.58,348.84,00:37:22,30/10 19:07:24,298.24,580584.96,1.00,1543.73,-190687.41,27.38,61.02,2454.25,554.59,-186046.44,34447.01,-151599.44,0.82,0.08
250000,1.00,10.0,350.64,351.13,00:36:57,30/10 19:07:23,300.46,581412.01,1.00,1564.44,-190541.74,22.63,63.20,2464.89,581.30,-185845.29,34702.99,-151142.30,0.80,0.08
275000,1.10,11.0,350.64,350.72,00:36:32,30/10 19:07:23,297.63,580204.63,1.00,1584.34,-190296.30,24.63,58.04,2438.19,570.34,-185620.77,34377.13,-151243.64,0.78,0.08
300000,1.20,12.0,350.60,350.12,00:36:08,30/10 19:07:24,300.85,581004.55,1.00,1568.50,-190250.63,23.38,61.96,2469.24,560.11,-185567.43,34748.57,-150818.86,0.76,0.08
