Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,412.69,412.69,00:34:32,31/10 00:27:07,297.73,481605.13,1.00,1454.15,-157877.68,29.79,66.68,2199.92,529.69,-153597.45,28591.92,-125005.53,0.98,0.10
50000,0.20,2.0,414.36,416.05,00:34:03,31/10 00:26:58,299.37,479726.58,1.01,1488.02,-157979.76,24.31,60.73,2174.35,543.87,-153688.49,28748.72,-124939.77,0.96,0.10
75000,0.30,3.0,414.84,415.81,00:33:40,31/10 00:26:56,299.78,482177.26,1.00,1482.35,-158017.31,30.56,66.23,2182.92,518.04,-153737.21,28788.46,-124948.75,0.94,0.09
100000,0.40,4.0,414.89,415.04,00:33:19,31/10 00:26:55,296.82,482462.20,1.00,1477.30,-157640.76,22.91,57.67,2213.81,518.33,-153350.74,28504.41,-124846.33,0.92,0.09
125000,0.50,5.0,414.99,415.40,00:32:57,31/10 00:26:55,300.16,481033.59,1.01,1417.80,-158336.12,27.58,66.31,2166.29,520.89,-154137.25,28824.96,-125312.29,0.90,0.09
150000,0.60,6.0,414.96,414.78,00:32:37,31/10 00:26:55,299.09,478728.94,1.01,1488.33,-158279.50,24.50,61.90,2212.76,531.13,-153960.90,28722.03,-125238.87,0.88,0.09
175000,0.70,7.0,414.95,414.88,00:32:16,31/10 00:26:55,298.65,481684.82,1.00,1466.42,-157913.04,26.28,61.87,2201.55,513.82,-153643.10,28680.32,-124962.79,0.86,0.09
200000,0.80,8.0,415.17,416.77,00:31:54,31/10 00:26:54,300.10,480799.95,1.01,1462.26,-157967.80,24.61,66.95,2178.90,521.92,-153713.17,28819.20,-124893.97,0.84,0.08
225000,0.90,9.0,415.18,415.26,00:31:33,31/10 00:26:54,298.37,481622.38,1.00,1420.26,-158381.65,22.40,69.91,2215.87,533.52,-154119.68,28653.23,-125466.45,0.82,0.08
250000,1.00,10.0,415.38,417.19,00:31:12,31/10 00:26:53,299.50,481796.09,1.00,1460.62,-158217.36,25.11,64.22,2195.33,481.19,-153990.89,28761.80,-125229.09,0.80,0.08
