Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,417.21,417.21,00:34:10,04/11 10:34:22,299.46,481636.31,1.00,1441.89,-157747.07,29.17,69.03,2205.52,548.09,-153453.36,28759.69,-124693.67,0.98,0.10
50000,0.20,2.0,418.20,419.20,00:33:44,04/11 10:34:17,300.91,481541.65,1.00,1452.41,-157830.65,27.30,62.03,2219.22,506.61,-153563.09,28899.04,-124664.05,0.96,0.10
75000,0.30,3.0,418.12,417.96,00:33:24,04/11 10:34:18,298.85,481853.74,1.00,1447.89,-157872.01,23.44,61.80,2196.35,556.58,-153585.95,28701.45,-124884.49,0.94,0.09
100000,0.40,4.0,417.81,416.89,00:33:05,04/11 10:34:19,298.94,483703.72,1.00,1467.83,-157847.54,24.95,59.63,2175.64,528.99,-153590.51,28710.10,-124880.41,0.92,0.09
125000,0.50,5.0,417.38,415.67,00:32:46,04/11 10:34:21,299.77,482503.52,1.00,1482.08,-157951.31,28.21,62.71,2174.08,546.95,-153657.29,28789.47,-124867.82,0.90,0.09
150000,0.60,6.0,417.20,416.31,00:32:26,04/11 10:34:22,298.59,479564.71,1.01,1442.11,-158302.02,23.98,64.61,2193.61,559.42,-154018.30,28675.96,-125342.34,0.88,0.09
175000,0.70,7.0,417.13,416.69,00:32:06,04/11 10:34:22,299.63,480152.10,1.01,1470.76,-158354.51,27.06,61.77,2163.27,510.54,-154121.11,28775.58,-125345.53,0.86,0.09
200000,0.80,8.0,417.36,419.00,00:31:44,04/11 10:34:21,297.16,481802.48,1.00,1446.71,-157908.63,23.99,55.38,2175.22,548.42,-153658.92,28538.47,-125120.45,0.84,0.08
225000,0.90,9.0,417.15,415.48,00:31:24,04/11 10:34:22,297.90,483619.34,1.00,1434.47,-157926.70,24.77,64.07,2221.82,516.85,-153664.72,28610.05,-125054.67,0.82,0.08
250000,1.00,10.0,416.85,414.20,00:31:05,04/11 10:34:24,299.69,482734.11,1.00,1450.50,-157633.52,23.09,58.40,2202.57,539.82,-153359.13,28781.90,-124577.24,0.80,0.08
275000,1.10,11.0,416.85,416.78,00:30:44,04/11 10:34:24,298.92,480201.23,1.01,1439.55,-158326.98,20.74,60.08,2194.86,514.74,-154096.99,28708.09,-125388.90,0.78,0.08
300000,1.20,12.0,416.80,416.23,00:30:24,04/11 10:34:24,298.89,484279.06,1.00,1460.68,-157872.27,20.95,56.11,2199.69,514.08,-153620.75,28704.62,-124916.14,0.76,0.08
325000,1.30,13.0,416.74,416.02,00:30:03,04/11 10:34:24,299.61,481786.92,1.00,1438.53,-158134.97,22.10,53.34,2213.09,520.99,-153886.93,28774.52,-125112.41,0.74,0.07
350000,1.40,14.0,416.73,416.61,00:29:43,04/11 10:34:24,299.16,482363.46,1.00,1399.40,-157954.53,21.90,54.78,2192.47,516.09,-153769.88,28730.50,-125039.38,0.72,0.07
375000,1.50,15.0,416.91,419.50,00:29:21,04/11 10:34:24,299.24,482726.68,1.00,1454.15,-158022.10,24.71,60.24,2189.73,531.46,-153761.81,28738.55,-125023.26,0.70,0.07
400000,1.60,16.0,417.08,419.62,00:29:00,04/11 10:34:23,297.19,481971.93,1.00,1439.39,-157971.65,22.97,56.01,2200.67,575.59,-153677.02,28541.63,-125135.39,0.68,0.07
425000,1.70,17.0,417.18,418.72,00:28:38,04/11 10:34:22,300.85,480761.65,1.01,1429.85,-157956.14,25.45,61.85,2218.99,527.30,-153692.70,28892.87,-124799.83,0.66,0.07
450000,1.80,18.0,417.26,418.70,00:28:17,04/11 10:34:22,299.31,482547.06,1.00,1436.99,-158295.33,19.45,55.34,2202.30,512.84,-154068.41,28745.67,-125322.74,0.64,0.06
