Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,412.90,412.90,00:34:31,31/10 00:21:25,299.36,481108.33,1.01,1413.38,-158162.53,22.85,56.82,2194.48,527.64,-153947.36,28751.52,-125195.84,0.98,0.10
50000,0.20,2.0,412.69,412.49,00:34:11,31/10 00:21:27,296.94,483395.33,1.00,1424.72,-157739.86,30.83,63.49,2194.35,528.77,-153497.69,28519.39,-124978.29,0.96,0.10
75000,0.30,3.0,412.44,411.94,00:33:51,31/10 00:21:28,298.09,481642.02,1.00,1442.76,-158055.28,26.37,63.84,2170.81,580.44,-153771.07,28629.20,-125141.86,0.94,0.09
100000,0.40,4.0,412.53,412.78,00:33:30,31/10 00:21:27,297.76,482139.87,1.00,1407.28,-158014.81,23.95,64.59,2199.59,541.87,-153777.53,28597.82,-125179.71,0.92,0.09
125000,0.50,5.0,413.13,415.54,00:33:06,31/10 00:21:24,298.07,479328.75,1.01,1453.51,-158203.76,26.32,76.37,2212.76,528.46,-153906.35,28627.43,-125278.92,0.90,0.09
150000,0.60,6.0,412.96,412.13,00:32:46,31/10 00:21:25,298.87,480490.45,1.01,1436.25,-158380.43,23.34,65.68,2168.24,512.05,-154174.88,28704.07,-125470.81,0.88,0.09
175000,0.70,7.0,412.69,411.05,00:32:27,31/10 00:21:27,298.13,481887.08,1.00,1416.46,-158066.76,27.82,69.49,2206.15,573.45,-153773.40,28633.77,-125139.63,0.86,0.09
200000,0.80,8.0,412.70,412.81,00:32:06,31/10 00:21:26,298.08,481927.17,1.00,1403.64,-158421.35,24.24,67.90,2187.93,496.21,-154241.43,28629.09,-125612.34,0.84,0.08
225000,0.90,9.0,412.86,414.15,00:31:44,31/10 00:21:26,300.72,481464.57,1.01,1395.38,-158161.21,31.41,68.00,2181.76,513.98,-153970.66,28882.32,-125088.34,0.82,0.08
250000,1.00,10.0,413.10,415.20,00:31:22,31/10 00:21:24,299.31,482197.73,1.00,1424.41,-157844.26,23.12,59.20,2201.25,528.92,-153607.37,28746.44,-124860.93,0.80,0.08
