Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,420.68,420.68,00:33:53,30/10 13:39:53,299.37,480395.56,1.00,1330.20,-156525.30,35.43,70.57,2332.33,468.30,-152288.47,28661.18,-123627.29,0.98,0.10
50000,0.20,2.0,418.11,415.57,00:33:45,30/10 13:40:05,298.12,480943.68,1.00,1308.66,-156661.90,33.93,73.67,2294.15,477.40,-152474.08,28541.47,-123932.61,0.96,0.10
75000,0.30,3.0,417.01,414.83,00:33:29,30/10 13:40:11,297.14,481844.64,1.00,1273.10,-156532.28,33.56,65.27,2316.27,507.74,-152336.34,28448.46,-123887.88,0.94,0.09
100000,0.40,4.0,417.41,418.62,00:33:07,30/10 13:40:09,299.58,482466.83,1.00,1308.68,-156387.85,33.43,77.39,2325.64,458.42,-152184.29,28681.32,-123502.97,0.92,0.09
125000,0.50,5.0,417.15,416.08,00:32:47,30/10 13:40:10,299.70,483465.74,1.00,1331.67,-156540.34,35.48,73.93,2328.09,554.60,-152216.56,28693.03,-123523.53,0.90,0.09
150000,0.60,6.0,417.12,416.96,00:32:27,30/10 13:40:10,298.20,480649.96,1.00,1240.39,-156758.31,32.05,71.60,2318.73,531.25,-152564.30,28549.42,-124014.88,0.88,0.09
175000,0.70,7.0,417.05,416.63,00:32:06,30/10 13:40:11,298.48,480267.59,1.00,1300.87,-156633.65,36.47,76.54,2324.51,482.64,-152412.62,28576.02,-123836.60,0.86,0.09
200000,0.80,8.0,416.76,414.73,00:31:47,30/10 13:40:12,300.57,481364.05,1.00,1309.85,-156584.74,38.51,87.11,2330.56,541.01,-152277.71,28776.76,-123500.94,0.84,0.08
225000,0.90,9.0,416.91,418.16,00:31:25,30/10 13:40:11,300.33,480680.74,1.00,1274.35,-156530.21,32.61,71.89,2335.44,485.22,-152330.70,28753.35,-123577.35,0.82,0.08
250000,1.00,10.0,417.27,420.48,00:31:03,30/10 13:40:10,298.47,482800.55,1.00,1324.43,-156571.98,33.28,74.86,2351.33,488.29,-152299.79,28574.95,-123724.84,0.80,0.08
275000,1.10,11.0,417.25,417.13,00:30:42,30/10 13:40:10,299.20,480396.85,1.00,1325.63,-156589.70,34.34,73.82,2342.54,500.27,-152313.09,28644.99,-123668.10,0.78,0.08
300000,1.20,12.0,416.96,413.79,00:30:23,30/10 13:40:11,298.32,480884.07,1.00,1354.74,-156708.03,33.82,76.24,2324.99,490.30,-152427.94,28561.47,-123866.47,0.76,0.08
325000,1.30,13.0,416.97,417.11,00:30:02,30/10 13:40:11,299.41,482004.58,1.00,1364.42,-156757.56,30.33,67.54,2364.20,482.99,-152448.07,28665.39,-123782.68,0.74,0.07
