Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,348.21,348.21,00:40:56,30/10 19:12:37,300.47,578457.83,1.01,1525.87,-190156.03,28.30,61.37,2446.81,550.95,-185542.73,34703.43,-150839.30,0.98,0.10
50000,0.20,2.0,348.81,349.40,00:40:27,30/10 19:12:33,300.79,580773.41,1.00,1605.05,-190062.23,26.40,66.42,2447.12,608.59,-185308.65,34740.99,-150567.66,0.96,0.10
75000,0.30,3.0,349.08,349.62,00:40:00,30/10 19:12:31,298.55,581036.81,1.00,1519.34,-190251.66,31.97,73.45,2437.95,562.72,-185626.24,34481.82,-151144.43,0.94,0.09
100000,0.40,4.0,349.13,349.27,00:39:35,30/10 19:12:31,303.91,580559.21,1.00,1529.70,-190429.95,29.25,62.52,2441.72,577.35,-185789.42,35100.45,-150688.97,0.92,0.09
125000,0.50,5.0,349.01,348.54,00:39:11,30/10 19:12:32,296.51,580547.60,1.00,1524.18,-190774.47,28.55,63.87,2427.58,585.78,-186144.51,34246.15,-151898.36,0.90,0.09
150000,0.60,6.0,349.11,349.65,00:38:46,30/10 19:12:31,297.89,581081.39,1.00,1553.28,-190497.51,24.82,66.69,2445.99,560.11,-185846.62,34405.92,-151440.70,0.88,0.09
175000,0.70,7.0,348.64,345.82,00:38:24,30/10 19:12:34,298.98,580488.12,1.00,1522.06,-190311.93,26.64,68.02,2472.09,554.44,-185668.67,34531.22,-151137.45,0.86,0.09
200000,0.80,8.0,348.94,351.02,00:37:58,30/10 19:12:32,297.87,581781.87,1.00,1549.30,-190439.98,26.61,65.24,2437.16,558.36,-185803.32,34403.31,-151400.00,0.84,0.08
225000,0.90,9.0,348.71,346.91,00:37:34,30/10 19:12:34,298.34,577477.30,1.01,1497.77,-190815.53,27.09,62.01,2458.78,539.08,-186230.79,34456.90,-151773.89,0.82,0.08
250000,1.00,10.0,348.60,347.64,00:37:10,30/10 19:12:35,299.70,579797.99,1.00,1530.49,-190318.03,31.59,68.94,2414.80,545.51,-185726.69,34614.38,-151112.31,0.80,0.08
275000,1.10,11.0,348.51,347.64,00:36:46,30/10 19:12:35,297.18,580254.15,1.00,1538.23,-190408.81,25.61,66.88,2451.33,584.72,-185742.04,34323.86,-151418.18,0.78,0.08
300000,1.20,12.0,348.49,348.22,00:36:21,30/10 19:12:35,299.36,580294.77,1.00,1545.16,-190768.26,25.37,65.71,2432.67,565.17,-186134.18,34574.79,-151559.39,0.76,0.08
325000,1.30,13.0,348.44,347.87,00:35:57,30/10 19:12:36,296.63,580526.75,1.00,1552.19,-190712.17,26.51,68.55,2466.61,595.83,-186002.49,34259.65,-151742.84,0.74,0.07
350000,1.40,14.0,348.38,347.56,00:35:32,30/10 19:12:36,299.43,580348.89,1.00,1578.58,-190309.17,26.85,72.29,2472.62,584.98,-185573.85,34583.77,-150990.08,0.72,0.07
375000,1.50,15.0,348.44,349.30,00:35:07,30/10 19:12:36,300.15,581083.56,1.00,1521.55,-190154.45,29.50,72.34,2437.52,567.95,-185525.59,34666.18,-150859.41,0.70,0.07
400000,1.60,16.0,348.43,348.31,00:34:42,30/10 19:12:36,298.16,581798.06,1.00,1568.26,-190214.86,20.55,61.54,2448.79,577.77,-185537.96,34436.97,-151100.99,0.68,0.07
