Step,Time (ns),Progress (%),Mean speed (ns/day),Current speed (ns/day),Remaining time,Completion date,Temperature (K),Volume (A^3),Density (g/cm^3),Angle,Non-bonded,External 0,External 1,Dihedral,Bond,Potential,Kinetic,Total,k0,k1
25000,0.10,1.0,418.36,418.36,00:34:04,04/11 10:34:16,298.10,484444.38,1.00,1479.50,-157896.35,25.73,59.66,2197.66,523.26,-153610.54,28624.75,-124985.79,0.98,0.10
50000,0.20,2.0,418.45,418.54,00:33:43,04/11 10:34:15,298.64,479908.65,1.01,1475.03,-158258.56,27.50,64.95,2200.89,543.28,-153946.92,28676.44,-125270.47,0.96,0.10
75000,0.30,3.0,416.95,413.99,00:33:30,04/11 10:34:23,299.36,482698.80,1.00,1449.15,-158298.22,22.75,61.78,2200.38,536.82,-154027.34,28745.24,-125282.10,0.94,0.09
100000,0.40,4.0,416.19,413.90,00:33:12,04/11 10:34:26,300.08,481144.56,1.01,1477.49,-158055.75,24.94,65.20,2203.05,519.41,-153765.67,28814.84,-124950.83,0.92,0.09
125000,0.50,5.0,416.68,418.68,00:32:49,04/11 10:34:24,298.66,481696.97,1.00,1409.40,-158066.77,22.41,61.66,2203.42,525.96,-153843.92,28678.41,-125165.50,0.90,0.09
150000,0.60,6.0,416.37,414.79,00:32:30,04/11 10:34:26,297.67,481605.76,1.00,1407.58,-157866.30,26.95,61.32,2189.46,579.22,-153601.76,28583.22,-125018.54,0.88,0.09
175000,0.70,7.0,416.39,416.56,00:32:09,04/11 10:34:25,299.44,480110.42,1.01,1456.60,-157696.97,19.52,51.25,2180.43,519.73,-153469.44,28753.35,-124716.09,0.86,0.09
200000,0.80,8.0,416.41,416.55,00:31:48,04/11 10:34:25,297.33,482159.54,1.00,1424.99,-158257.93,27.70,65.37,2207.99,563.75,-153968.14,28550.59,-125417.55,0.84,0.08
225000,0.90,9.0,416.44,416.66,00:31:28,04/11 10:34:25,297.34,480927.90,1.01,1442.19,-158135.21,23.55,59.12,2195.47,481.75,-153933.13,28551.32,-125381.81,0.82,0.08
250000,1.00,10.0,416.17,413.73,00:31:08,04/11 10:34:27,299.92,480200.38,1.01,1464.55,-158212.34,21.91,61.55,2192.42,496.76,-153975.15,28799.05,-125176.10,0.80,0.08
275000,1.10,11.0,415.63,410.33,00:30:50,04/11 10:34:29,298.10,481648.25,1.00,1433.74,-158226.00,17.59,56.43,2179.26,509.17,-154029.81,28624.21,-125405.60,0.78,0.08
300000,1.20,12.0,415.13,409.67,00:30:31,04/11 10:34:32,299.71,481926.65,1.00,1428.98,-158114.65,21.63,51.76,2198.72,545.75,-153867.81,28779.41,-125088.40,0.76,0.08
325000,1.30,13.0,415.06,414.25,00:30:11,04/11 10:34:32,298.16,481570.78,1.00,1411.92,-158078.52,20.73,52.48,2190.16,515.19,-153888.03,28630.09,-125257.94,0.74,0.07
350000,1.40,14.0,414.96,413.69,00:29:50,04/11 10:34:33,297.62,480665.83,1.01,1404.46,-157586.57,21.71,49.50,2206.03,543.97,-153360.89,28578.77,-124782.12,0.72,0.07
375000,1.50,15.0,414.80,412.58,00:29:30,04/11 10:34:33,299.31,481116.48,1.01,1472.85,-158391.22,19.87,54.27,2183.10,491.47,-154169.66,28741.21,-125428.45,0.70,0.07
400000,1.60,16.0,414.82,415.15,00:29:09,04/11 10:34:33,299.78,480571.51,1.01,1427.81,-158304.51,21.54,57.80,2201.82,568.84,-154026.71,28785.55,-125241.16,0.68,0.07
